,title,article
0,Apple Podcasts 推訂閱分析、攜手 Linkfire，要讓創作者掌握聽眾習慣,"蘋果（Apple）宣布將為 podcast 創作者工具增加新功能，包括在可追蹤節目成效的 Apple Podcasts Connect 儀錶板中增加「訂閱分析」，同時蘋果也會將 podcast 與行銷平台 Linkfire 相互整合。Apple Podcast 於兩年前推出訂閱服務，讓聽眾可付費支持節目，有了訂閱分析功能後，創作者能深入了解哪些聽眾開始了免費試聽，又有哪些人成為了付費訂閱戶，藉此計算轉換率，不過聽眾資料皆為匿名僅會顯示編號。另外，創作者可透過熱圖了解聽眾的所在地，也能將訂閱戶進而用訂閱時長、訂閱活動（包括取消或續訂）來區分。Photo Credit: 截自 Apple 網頁Apple Podcast 與 Linkfire 攜手Linkfire 是個提供客製化連結和登陸頁面的服務，創作者可在登陸頁上將聽眾導向其他音樂平台。Linkfire 目前的用戶包括環球音樂、華納音樂等大型音樂公司，平台將於秋季拓展至 podcast 領域。蘋果與 Linkfire 的整合又稱為「Linkfire for Podcasts」，用戶端在登錄頁上會出現收聽節目和訂閱兩個選項，而創作者端可為 podcast 節目生成「智慧連結」（smart links），藉連結分析聽眾的點擊率，也可進一步觀測用戶是否有真的播放或追蹤節目。Photo Credit: 截自 Apple 頁面Linkfire 的創辦人表示聽眾的聆聽習慣對於 podcast 創作者而言並沒有太多能見度，也有專家表示，透過節目下載數僅能對聽眾有表層的理解，創作者最想知道的應該是聽眾究竟花多少時間在收聽節目。快加入 INSIDE Google News 按下追蹤，給你最新、最 IN 的科技新聞！延伸閱讀：   炎炎夏日，人手一杯清涼的手搖飲，絕對是臺灣人夏日必備的消暑聖品。在競爭激烈的手搖飲市場中，以主打健康、天然、高品質的迷客夏深獲許多消費者的喜愛，從最早台南發跡，如今在台已有逾兩百五十間分店。隨著規模持續發展，要讓各家店的服務流程及品質一致，勢必需要改善現有的工作流程，讓內部能更有效率地溝通協作，其中人員管理就是非常重要的一環。從台南發跡的迷客夏，主打健康、天然、高品質深獲許多消費者的喜愛，如今在台已有逾兩百五十間分店。/Photo Credit：TNL Brand Studio複雜的法規、餐飲業特殊的需求 —— 每個月的薪水被算對了嗎？過去餐飲業、零售業的排班方式仍會使用傳統紙本或 Excel 排班，劃滿螢光筆、充滿註記的排班表不僅難以即時得知當月人力支出，還要每個月手動結算，容易計算錯誤、作業時間長，嚴重者甚至發生勞資糾紛。長期下來，各種有形無形的成本，不僅耗損企業的人力及行政資源；對外，則會影響到品牌的形象，降低觀感。迷客夏倪協理解釋道，「臺灣的勞動法規其實是非常複雜的，以薪酬來說，要能合乎法規且計算無誤，就十分考驗人資的能耐，更別說是平常還需打理其他事務的企業老闆們。有一套好的人資管理系統，不僅提升企業行政效率，還能釋放人資的能量，專注於更重要的工作。」迷客夏以往是採取 ERP 結合人資系統的方式，然而隨著企業版圖的快速擴張，在人資管理上出現了新的需求。迷客夏總部採取一般辦公室工時；門市則需因應營業的需求，使用變形工時。放眼市面上的人資管理系統，鮮少有能同時兼顧兩邊人事需求的選項。在多方比較後，迷客夏導入人易科技的 nuHRM 人資管理系統，透過數位轉型提升管理效能、簡化人資部門的工作流程，讓 HR 可以更加專注在組織人才發展作業。迷客夏導入人易科技的 nuHRM 人資管理系統不僅提升人資部門工作效率，更方便各門市人員管理，同仁出勤、請假等作業也更便捷。/Photo Credit：TNL Brand Studio2500+中小企業合作夥伴的肯定， NUEIP 人易科技量身打造最合適的人資管理系統人易科技專門提供臺灣的中小企業人人好上手、價格親民的人資管理系統，也會和客戶保持密切的交流，重視客戶每一次的回饋與建議，不斷因應中小企業主的需求進行更新，讓人資系統可適用於各行各業。尤其在餐飲業複雜的使用情境下，人易科技更是受到眾多一線餐飲品牌的肯定。人易科技的張家興副總表示，「市面上有許多人資管理系統，但大多不適用於排班制度特殊的餐飲業，也無法因應常出現的人力臨時變動，我們的系統就是希望能讓企業有更多的彈性和選擇，同時滿足變形工時的法規需求。」nuHRM 人資管理系統特別針對餐飲業人事管理不易、考勤管理困難以及薪資計算多元等困難建構功能完整的系統，還能夠使用 Line 及 Wechat 上下班打卡，可說是「一機在手，雲端辦公室帶著走」。讓門市店家提升效率，節省行政時間，降低人力成本，同時避免違反相關的法規。過往可能因行政而徒增的成本，在導入系統後都能夠有所改善，還能夠省下購買實體打卡耗材的維護費，讓錢真正用在刀口上。超有感！迷客夏如何使用 nuHRM 提升人資管理效率企業在導入系統後，最怕的就是人員的反彈，畢竟在已經熟悉上手的工作環境中，突然多了全新的系統要學習及適應，難免會引來抱怨。在實際使用過人易科技的人資管理系統後，迷客夏的倪協理對於 nuHRM 人資管理系統讚譽有加。「nuHRM 人資系統一條龍的設計簡易又好懂，從排班開始，到員工上班打卡，打完卡後的加班機制，最後再變成薪資單，系統都能快速地處理完成。」過去，HR 需要等待資料回傳及統計，至少需花費兩到三天的時間；導入系統後， HR 只需要花上半天的時間就能夠全數處理完成。另外，「nuHRM 人資管理系統的介面十分好懂，功能也一應俱全，許多欄位還能根據內部需求彈性調整，通常照著介面操作都不會有什麼問題，即使真的遇到操作問題，也會有專人詳細地服務解說，對於管理者來說十分便捷。」倪協理補充道。圖說：nuHRM 人資管理系統簡易又好懂的介面設計，讓迷客夏在提升人資管理效率超有感。/Photo Credit：TNL Brand Studio除了在硬體上大幅地下降了學習的成本及時間，倪協理也分享人資部門如何透過漸進式的推動，讓迷客夏的同仁們感受到使用系統的便利與好處。舉例來說，過往在發薪日後不免會有對薪資計算產生疑問的人員，即便提出疑問，繁複的手續及漫長的等待時間，可能使員工產生不安的感受。如今在系統的幫助下，每個員工都能即時查詢薪資單，出勤、請假、加班等紀錄也都清楚載明，HR不僅能夠大幅減少處理的時間及業務，內部人員也能快速得到解答與回應，有效提升對公司內部的信任及好感度。倪協理也會先邀請內部較精通科技產品的同仁進行測試，在全面落實前提前預知可能的問題，並結合人易科技提供的操作說明撰寫內部的 SOP 手冊。如此一來，便能大幅降低導入系統後的磨合時間，同仁也會更願意接受新的系統。在以人為主的餐飲業服務中，每一個環節都可能對企業帶來幫助，迷客夏攜手人易科技由內而外的強化人資管理能量，落實集團的經營理念，打造透明友善的職場環境。結合數位及人資管理優勢，面對疫後復甦新經濟挑戰伴隨著企業快速地發展，數位化系統的導入，絕對是不可或缺的一環，企業必須積極導入數位化工具，提升企業營運效率，回應疫情後逐漸回流的人潮，以及全球快速變遷的局勢。談到未來的規劃，倪協理說道，「迷客夏有非常多的直營和加盟店，接下來我們希望能扶植更多的店長及員工，協助他們在迷客夏體系內，能有更健全的發展，和企業一起成長進步。」在有了人易科技的 nuHRM 人資系統的協助，企業不再需要為了過去人資管理的不足而操心，還能讓員工在提升行政效率下，將時間和心力投注在更有價值的地方。餐飲業缺工是業內共同的困境，但也顯示出「留才」的重要性，藉由導入 NUEIP 人易科技的人資管理系統，健全企業的人資管理，不僅能有效提升員工心中對公司的認同，還能強化整體外部的品牌力。對於這樣的好成績，張家興副總則表示，「一直以來我們都還是專注在如何開發真正實用的系統上，能受到市場的肯定，就代表我們的方向是對的。我們會持續秉持著『以人為本』的精神，為企業打造一站式人資、客戶關係、簽核流程、數據分析的整合管理工具，專屬顧問協助導入，助企業無壓力數位轉型。」人易科技將在下半年推出企業流程管理系統（Business Process Management），打造高效的流程管理，化繁為簡，協助企業專注在核心的事務上。

 "
1,iPhone 15 助攻下，蘋果可望「首度問鼎」全球銷量冠軍,"自生成式人工智慧（Gen AI）問世，人工智慧（AI）展現出諸如自然語言、圖像、音樂等內容生成的創造能力後，AI 一詞便躍升為產業最熱門的關鍵字。不只企業紛紛導入相關技術人才，整合各式 AI 服務、開啟新一波的商業競賽，甚至海外也出現了名為「AI 溝通師」的新興職缺，年薪上看百萬台幣。但你可能不知道的是，除了 AI，「雲端服務」的領域其實也充滿機遇──其中的關鍵，是 AI  與雲端密不可分的關連性。雲端服務就好比是 AI 的基礎建設，不只提供大量的數據存儲和處理能力，對於 AI 模型的訓練與運行至關重要；同時，藉由雲端供應商預先建構的服務及 API ，開發者能夠享有擴展彈性及服務整合等優勢，小至原型開發、大至大規模部署，都可以隨需求調整所需資源，輕鬆整合各項 AI 功能。基礎數位技能免費養成，雲端技術替你打開職場新大門！AWS 台灣數位技能研究指出，在台灣，具備高階數位技能（如雲端運算或軟體開發）的受訪員工每年平均收入約 180 萬台幣，且高達 52% 掌握高階數位技能的受訪員工表示擁有較高的工作滿意度；不過，反觀台灣產業的數位人才招募狀況，AWS 卻發現有過半雇主在找尋數位人才的過程面臨極大挑戰，且有 75% 的受訪企業表示，數位認證或培訓課程能夠代替學士學位。這意味著，未來數年市場對擁有數位技能的員工的需求將保持強勁，且擁有越高階的數位技能，在招募市場中就越佔據主動權與優勢；不過，隨著 Gen AI 等新興技術崛起，企業對於基礎數位技能的需求也逐步擴大，成為眾人踏入雲端領域的絕佳機會。為幫助有意學習雲端的初學者深入認識，並從中找到職涯發展的機遇，AWS 即將於 9 月 07 日下午舉辦完全免費的雲端入門課程「AWS 線上雲端培訓日（AWSome day）」。活動中，除了基本雲端概念、運算、儲存服務及安全性等，也會介紹時下熱門的 AI 應用，並帶領參與者認識 AWS 多元的雲端解決方案，獲得能夠即時應用的雲端實戰力。最重要的是，「AWS 線上雲端培訓日」線上參與、全程免費，非常適合想要接觸雲端，但時間有限的產業工作者們。立即報名「AWS 線上雲端培訓日」，讓雲端知識為你開展全新的職涯可能！雲端小白的技術即戰力！完整雲端應用展示，助你敲開雲端產業入門磚「AWS 線上雲端培訓日」由 AWS 資深業務發展經理 KC Liang，以及 AWS 技術培訓師  Stanley Huang 共同帶領，課程內容從雲端趨勢、運算儲存等核心服務開始，漸漸延伸至資料庫、網路架構、資安概念等概念，最後聚焦 AI、物連網、機器學習等 AWS 的焦點服務，為您開啟個人或企業的雲端創新之旅。Photo Credit：AWS專為雲端小白量身打造的課程架構，加上資深講師深入淺出的示範，相信不管你是否擁有雲端基礎，結訓後都能獲得適當的基礎雲端能力，並擁有對 AWS 旗下 200 多種服務的初步認識，了解如何活用雲端、掌握 AI 。除此之外，課程結束後參與者還會獲得 AWS 提供的培訓證書，為個人求職或是部門競爭帶來正面的影響。無論是企業或資訊主管、開發團隊的技術人員，還是對雲端服務有興趣的工作者，AWS 線上雲端培訓日都能為您建立雲端技術概念、拓展應用視野，千萬別錯過由 AWS 專家帶來的培訓課程。此外，若您是第一次接觸 AWS 的用戶，只要在活動前註冊 AWS 免費帳號，還能獲得「AWS 藍芽喇叭」，歡迎點此了解更詳細活動規範。立即報名「AWS 線上雲端培訓日」，敲開雲端產業入門磚！AWS 線上雲端培訓日（AWSome day）活動資訊活動時間：2023 年 9 月 07 日 | 2:00 PM - 5:00 PM
參與方式：報名完成後，將收到線上觀看連結。報名者只要於課程指定時間上線參與即可。
立即報名：點此填寫資料即可完成報名。
課前準備：本課程中，專業講師會分享如何透過 AWS 帳戶，免費使用 AWS 高達 200 多種的雲端服務。為提高課程參與，請於課前註冊 AWS 帳號，以利課程中同步操作體驗。"
2,2017 爆偷降速 iPhone！蘋果花 5 億和解，每人賠款今天曝光,"本文來自合作媒體聯合新聞網，INSIDE 授權轉載。蘋果 2017年坦承在用戶不知情的狀況下降速舊款iPhone ，引發軒然大波。近日其中一起集體訴訟案即將告終，蘋果將支付約5億美元（近160億台幣）和解，提告用戶每人約可獲得65美元（約2075元台幣）的賠償。The Verge報導，在這起訴訟案中代表蘋果用戶的公司之一Cotchett, Pitre & McCarthy宣布，美國聯邦第九巡迴上訴法院駁回用戶反對和解的上訴，為蘋果公司向受影響的iPhone 6、6 Plus、6S、6S Plus、7、7 Plus及第一代SE用戶支付賠償金鋪路。根據和解條款，蘋果將須支付最低3.1億、最高5億美元的賠償，具體金額取決於索賠人數，但壞消息是，僅限於在2020年10月6日前提出索賠的用戶。根據律師說法，申請索賠人數約有300萬人，若通過批准，每人預期可獲得約65美元賠償。這起訴訟起因可追溯至蘋果2017年推出的iOS 10.2.1，這項更新對電池性能降低的舊款iPhone進行調整，降低處理器速度以防電池跟不上，最初卻沒有告知用戶這項改變，而恢復原本速度的唯一方法就是更換電池，被外界認為是「史上最大詐欺消費者事件之一」。蘋果在事件爆發後，於2018年提出電池更換優惠，並放寬適用範圍，讓沒有受到降速功能影響的機種也能加入補償方案。此外，蘋果在2018年3月的iOS 11.3更新中，加入了電池健康度功能，讓用戶可以快速了解自己的手機電池狀態。"
3,迎接 Apple Watch 10 周年，蘋果正準備「Watch X」,還記得 iPhone X 嗎？這支手機無論在推出前或推出後，都有著極高的討論度，不但在機身設計上非常具有代表性，就連發布日期都與別支手機不太一樣，就是為了紀念 iPhone 來到第十代。現在，輪到 Apple Watch X 了。據《彭博社》（Bloomberg）資深蘋果記者 Mark Gurman 報導，蘋果正在為了 Apple Watch X 做足準備，雖然我們不會在今年看到這支手錶。如果你去年才入手了 Apple Watch Ultra，或許可以等待蘋果推出的 Apple Watch X，但可能就要等到 2024 年或 2025 年了。那麼 Apple Watch X 會有什麼不同？據稱蘋果設計師正在研究更薄的錶殼，並且錶帶連接到機身處可能會有不同的方式，可能是一種「磁帶連接系統」（magnetic band attachment system），以便電池變得更大，或者讓其他零組件更有空間，這是傳統的 Apple Watch 錶帶設計辦不到的，雖然目前還不確定磁帶連接系統是否會應用在 Apple Watch X 上，不過其他重大更新還包括 microLED 螢幕、血壓監測技術等。報導也指出，蘋果內部正在討論是否放棄 Apple Watch 這種每年僅有小幅度的更新。與 iPhone 不同，不同代 Apple Watch 間的差異並不大，像是 2022 年的 Series 8 主要就是新增了體溫傳感器，2021 年，僅僅只是加大了螢幕。2020 年，蘋果在 Apple Watch Series 6 上配備了更快的晶片以及血氧讀取功能。至於今年的 Apple Watch，Gurman 預計不會有太大的升級，9 月 12 日舉辦的活動中蘋果將推出 Apple Watch Series 9，尺寸上將與現在的型號相同，分別為 41mm、45mm，不過會配有更快的處理器、新的顏色，在新功能上，可能會是「史上最小幅度的一次更新」。 
4,消息稱：蘋果「Apple GPT」用鴻海提供專用伺服器訓練的,本文來自合作媒體 Mashdigi，INSIDE 授權轉載。近期公布財報時，蘋果執行長Tim Cook表示人工智慧也是公司未來重點發展項目，同時更有消息指稱蘋果內部正打造類似ChatGPT、以「Apple GPT」為稱的聊天機器人服務，相關消息更指出蘋果透過主要產品代工合作夥伴鴻海獨家提供專用伺服器訓練、測試其人工智慧服務。目前仍無法確認蘋果著手打造的人工智慧應用技術項目細節，但可以確定人工智慧確實也是蘋果未來發展重點，而目前也有許多服務陸續導入人工智慧技術，例如照片中的搜尋功能，或是App Store的內容推薦機制。至於蘋果接下來是否會將自動生成式人工智慧技術與Siri結合，藉此打造更容易理解使用者所需的數位助理服務，並且創造更自然的人機互動效果，暫時還無法確認。除了蘋果，目前包含Google、微軟、亞馬遜、Meta在內科技業者也均擴大投入自動生成式人工智慧技術發展，希望能藉此技術創造更多互動效益，並且產生更多衍生內容，進而提高服務及產品使用黏著。在蘋果接下來的發展規劃，預期會朝向感知運算形式佈局，因此自動生成式人工智慧應用也將成為蘋果發展重點。
5,蘋果 M3 Max 晶片測試中！新 Macbook Pro 明年報到,《彭博社》資深蘋果記者 Mark Gurman 近日透露了最新款 M3 Max 晶片的規格，包括 16 個 CPU 核心、40 個 GPU 核心以及 48GB 統一記憶體（應該不是最高規格）。目前市面上蘋果推出最強大的晶片是 M2 Max，適用於 16 吋 MacBook Pro 以及 Mac Studio，最高配有 12 個 CPU 核心、38 個 GPU 核心。因此，Gurman 預測 M3 Max 有的 4 個額外的 CPU 應該都是大型的高效能核心，用來處理影片剪輯等要求較高的任務，也就是12 個高效能核心和 4 個較小的效率核心。不過，蘋果內部應該還在測試多種核心數量選項，這個僅是測試版本之一。至於基本型號的 M3 晶片則將繼續配有 8 個 CPU、10 個 GPU，雖然這配置和 M2 似乎差不多，不過仍會有較高的速度。而所有的這些 M3 系列晶片（包括 iPhone 15 的 A17）都是使用台積電 3 奈米工藝，M2 晶片則是採用 5 奈米 N4P 製程。蘋果即將在 9 月發表新 iPhone 以及 Apple Watch，預計 10 月會發表第一批搭載 M3 晶片的新款 Mac 產品，有可能是 Macbook Air。Gurman 推測蘋果未來 12 個月預計會內發表的各新款 Mac 產品推出時間如下：配備 M3 晶片的 iMac13 吋 MacBook Pro13 吋、15 吋的 MacBook AirMac mini蘋果可能自 10 月開始推出 M3 晶片的入門款 Mac 產品，而配備 M3 Pro、M3 Max 晶片的 14 吋以及 16 吋 Macbook Pro 則要等到 2024 年了。 
6,傳台積電承擔 A17 晶片缺陷成本，蘋果將省下數十億美元！,本文來自合作媒體鉅亨網，INSIDE 授權轉載。根據《The Information》周一（7 日）報導，台積電和蘋果已簽署一份協議，台積電將吸收生產蘋果 A17 晶片時出現缺陷產品的成本，該協議將替蘋果在 iPhone、iPad、Mac 晶片方面節省至少數十億美元的成本。另外根據協議，雖然 A17 晶片缺陷率偏高，但蘋果仍然可以長期優先享受台積電的先進技術，而對台積電而言，蘋果訂單量龐大到足以抵銷額外成本。報導指出，台積電的 3 奈米晶圓廠製程良率在 70% 至 80% 之間，這意味著採用新技術生產的晶片中有多達五分之一是有缺陷的，但蘋果不會替這些缺陷產品買單。簡而言之，蘋果作為台積電最大客戶地位，台積電正在幫助這家 iPhone 製造商在競爭中保持領先地位，同時節省數十億美元。至於蘋果將在競爭中領先多遠，《The Information》報導指出，英特爾是目前唯一一家明年有 3 奈米晶片業務的客戶。此前有報導稱，蘋果已向台積電下單 3 奈米晶片。但根據《The Information》報導，台積電之所以能夠開發出更新的技術，是因為蘋果願意盡早批量訂購新的晶片。因此，蘋果正在資助 3 奈米晶片的開發。一旦缺陷改善、產能增加，台積電將能向其他沒有這類私下協議交易的公司出售 3 奈米晶片。據統計，採用 3 奈米製程意味著即將推出的 iPhone 15 可能會因為這項技術提高 35% 的效能。截稿前，蘋果和台積電均未對此公開置評。蘋果預料將在 9 月 13 日左右發布 iPhone 15 和 iPhone 15 Pro，其中只有後者採用最新的 A17 晶片。截稿前，蘋果盤中股價下跌 2.01%，每股暫報 178.32 美元。
7,蘋果市值蒸發超過 1600 億美元，跌出 3 兆美元俱樂部,本文來自合作媒體鉅亨網，INSIDE 授權轉載。蘋果會計年度第二季銷售額略有下降，對本季營收預期也令人大失所望，促使蘋果週五 (4 日) 股價暴跌 4.8%，創十個月來最高單日跌幅，市值一夕蒸發超過 1600 億美元，跌出「3 兆美元俱樂部」。蘋果連續三季營收下滑，令一些華爾街分析師感到不安。華爾街分析師認為，隨著蘋果估值擴大和 iPhone 銷售的放緩，至少這是兩大理由不買入該股。蘋果週五股價暴跌 4.8% 至每股 181.99 美元，迎來 2023 年迄今為止最糟一天，也創自去年 9 月 29 日以來的最大跌幅，但今年迄今以來，該股累漲超過 45%。D.A. Davidson 分析師 Tom Forte 說，蘋果財測預期沒有提供足夠的理由支持該股目前的溢價估值。他還表示，雖然即將推出的 iPhone 15 令人興奮，但電信營運商推動人們使用 5G 網路之際，可能不會有太大的優惠。Forte 寫道：「總體來說，我們將密切關注 iPhone 15 的表現，但對中國和印度的銷售表現令人欣慰。」D.A. Davidson 分析師將蘋果目標價從 185 美元下調至 180 美元，並維持對該股的「中性」評級。雖然蘋果在印度市場潛力一直是多頭的焦點，但瑞銀 (UBS) 分析師表示，人們經常將蘋果在印度市場增長與蘋果在中國的增長進行比較是錯誤的。他們指出，印度智慧型手機市場規模約為中國的一半，對高階設備的需求較低。瑞銀分析師 David Vogt 說：「隨著地區經濟的改善，印度等市場將長期增長，但我們認為，蘋果在未來幾年不太可能取得像在中國那樣的銷量成功。」Vogt 維持蘋果股票的「中性」評級和 190 美元的目標價，並指出蘋果溢價已高達 50%，是十年來最高。其他空頭分析師則聚焦於美國市場。KeyBanc 分析師表示，蘋果最新預測表明，美國智慧型手機用戶升級設備的速度沒有預期的那麼快。KeyBanc 分析師 Brandon Nispel 寫道：「我們擔心美國升級週期即將停止，升級率處於創紀錄的低點，這可導致來自美國營收疲軟。」Nispel 維持蘋果股票「增持」評級和 200 美元的目標價。然而，他指出，估值過高，到 2024 年，蘋果的企業價值 (EV) 估為 2024 年預估 Ebitda (稅前息前折舊攤銷前獲利) 的 21 倍，而這種估值水準開始顯得牽強，跟過去三年平均值 18 倍相比尤然。蘋果多頭則關注 iPhone 15 的發布以及不斷增長的服務營收。蘋果截止至 7 月 1 日第三季服務營收增長 8.2%，增速繼續維持個位數，凸顯軟體業務具有一定的抗風險性，在硬體營收下滑之際，蘋果軟體服務仍能維持增長。蘋果大多頭、投行 Wedbush 分析師 Daniel Ives 提到：「整體而言，我們會逢低買入，因為 iPhone 15 迷你超級週期將在 9 月中旬扎根，現在好戲登場的前奏曲正要響起。」Ives 重申蘋果「增持」評級，並將目標價從 220 美元上調至 230 美元。
8,蘋果不甩「可輕鬆換電池」規定！工程師曝關鍵原因硬槓歐盟,本來自合作媒體聯合新聞網，INSIDE 授權轉載。歐盟繼上次立法要求所有電子產品需要使用 Type-C 充電而影響 Apple 必須改版後，這次又立法表示，在歐盟境內銷售的所有 3C 產品，都要提供使用者可更換的電池 ，而蘋果 （Apple）的 iPhone 會如何應對？根據外媒報導，蘋果似乎已經決定 iPhone 將不會配合此規定，將依舊推出無法拆卸並自行更換電池的機款。根據新的歐盟法律規定，從 2027 年開始，在歐盟境內銷售的所有 3C 產品，都要提供使用者可更換的電池。該項規定將衝擊許多科技產品的廠商，其中最引人注目的就是蘋果手機 iPhone。根據外媒「Gadget Tendency」報導，蘋果的硬體工程師執行副總裁約翰·特納斯（John Ternus）對此表示，如果用戶需要更換電池，應該要有一個安全有效的方式來達成，若讓用戶自行更換，可能導致耐用性和維護性受到衝擊，且「故障點」也將可能增加。約翰也表示，iPhone 通常具有 IP68 等級的防水性，過去甚至曾有 iPhone 使用者不小心將手機掉到水裡，花 2 天時間才取出來該台手機，卻仍然能使用的經驗。但若要加入拆卸並自行更換電池的功能，可能就無法用原本的高科技黏合劑和密封劑，使一切都能防水。因此外媒表示，顯然蘋果不太同意讓使用者「自行快速且輕鬆自行更換電池」，可能將依舊推出無法拆卸並自行更換電池的機款。因此要如何修改機身或如何規避歐盟新法規，在 2027 年來臨之前仍是許多果粉關注的焦點。
9,【蘋果 2023 Q3 財報】iPhone、iPad 和 Mac 銷售全下降，下一季表現恐相似,蘋果（Apple）公布了會計季度 Q3 的財報，雖然營收高於分析師預測，但 iPhone 銷售額卻未達預期，也導致盤後股價下滑 2%。蘋果本季報營收同比減 1% 至 818 億美元，較高於 Refinitiv 分析師預期的 816.9 億美元；毛利率為 44.5%，而每股盈餘為 1.26 美元。iPhone、iPad 和 Mac 營收皆同比下降iPhone 銷售額同比減 2% 至 396.7 億美元，目前美國智慧型手機市場較為艱困，但蘋果表示仍觀察到許多換機的用戶，或從 Android 陣營加入的消費者，在中國市場尤其明顯。根據 Counterpoint Research 數據顯示，今年 Q2 中國智慧型手機銷售年減4%，是 2014 年以來銷售額最低的第二季。反觀蘋果，iPhone 銷售額卻是年增兩位數，也促中國、香港和台灣的總銷售額年增 8% 至 157.6 億美元。iPad 銷售則受到更大衝擊，年減 20% 至 57.9 億美元；而 Mac 則年減 7% 來到 68.4 億美元，對此庫克（Tim Cook）表示 Mac 過去 2 年受遠距上班和自家晶片的推出兩個因素的刺激，銷售額因此攀升，他認為這季下滑的幅度是可接受的。蘋果穿戴裝置包括 Apple Watch、AirPods 等，是唯一銷售額有所成長的硬體產品，年增 2% 至 82.8 億美元。生成式 AI 發展蘋果截至目前此會計今度的研發（R&D）花費為 226.1 億美元，較去年同期增加 31.2 億美元。花費增加的部分原因是對生成式 AI 研究的投資。雖然蘋果仍對生成式 AI 的發展未透露太多更新，但在與《CNBC》採訪中庫克指出，公司已研發生成式 AI 和機器學習數年了，也認定這是核心的技術，並已導入每個產品中。Apple TV+ 和支付等服務持續成長，平衡了整季營收蘋果的「服務」項目是此季財報中的一大亮點，營收年增 8.2% 至 212.1億美元，增長幅度大於前一季的 5.5%，顯示事業呈持續成長。服務項目包括訂閱、串流 TV、廣告、支付服務和 AppleCare 等。蘋果表示目前已累積 10 億名付費訂閱戶，較去年增加了 1.5 億人，涵蓋了Apple Music、Apple TV，和透過 App Store 訂閱服務的所有用戶。下一季展望：銷售額跌幅應和本季相似蘋果 CFO 表示下一季 Q4 的銷售表現應會與本季相差不遠，若同樣用年減1% 的降幅計算，Q4 銷售額可能落在 892.5 億美元，低於 Refinitiv 分析師預期的 901.9 億美元；蘋果也預測 iPad 和 Mac 的銷售額將跌二位數、毛利率將落在 44%至 45%之間。
